33 Export,7100,12,700
Mutzick,7100,12,700
Castel,7100,12,700
Beaufort Ordinaire,6600,12,700
Beaufort Light,6600,12,700
Booster,7100,12,700
Dopel,7100,12,700
Kadji,7200,12,700
Isenbeck,8300,12,800
Manyan,5400,12,500
Coca 1L,3200,6,800
Djino,4800,6,800
Supermont,1500,6,500
Petit Guiness,14300,24,800
Grande Guiness,11800,12,1300
Guiness Smooth,9500,15,800
Origin,7200,12,800
Malta,11000,24,700
Ice Ananas,13000,24,700
Ice Black,13000,24,700
Racine,5400,12,500
Chille,5400,12,500
